mode,N,q,p,seq_mean,seq_stdev,par_mean,par_stdev,speedup,used_samples
strong,512,1,1,0.016640949994325638,0.000885582202148527,0.3863460199907422,0.023457352198146052,0.043072658014503155,5
strong,512,2,4,0.015468079992569984,0.00020326173315507828,0.4196473199874163,0.006716475837857856,0.03685971351618263,5
strong,512,4,16,0.015877019986510275,0.00036957431753764755,0.9442685600137338,0.015466512346935768,0.01681409363696209,5
