mode,N,q,p,seq_mean,seq_stdev,par_mean,par_stdev,speedup,used_samples
strong,1024,1,1,0.06760442856258513,0.0010587977747186109,0.2578672962931537,0.002390253761417508,0.26216751613872646,27
strong,1024,2,4,0.06704057856612573,0.0004404226677620393,0.3226464862036037,0.00828433251361856,0.2077833834639075,29
strong,1024,4,16,0.0677913999991558,0.000635054387998291,0.7659528833387109,0.01972094329971372,0.08850596619423895,30
