mode,N,q,p,seq_mean,seq_stdev,seq_min,seq_max,seq_outliers3s,par_mean,par_stdev,par_min,par_max,par_outliers3s,speedup
weak_rs,256,1,1,0.029040,0.000658,0.027894,0.030485,0,0.031360,0.002625,0.028545,0.039203,0,0.926003
weak_rs,512,2,4,0.054968,0.001512,0.053359,0.061811,1,0.039702,0.001191,0.037444,0.041518,0,1.384525
weak_rs,1024,4,16,0.296269,0.008734,0.280981,0.311309,0,0.131612,0.011896,0.100935,0.165743,0,2.251073
